n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,cv_ndcg
300,0.1,63,20,0.8,1.0,0.7126826529082275
300,0.1,31,20,0.8,0.8,0.7126826529082275
300,0.1,31,20,0.8,1.0,0.7126826529082275
300,0.05,63,10,1.0,1.0,0.7126808935493288
300,0.05,63,10,1.0,0.8,0.7126808935493288
500,0.01,15,20,1.0,1.0,0.7126704381978459
500,0.01,15,20,1.0,0.8,0.7126704381978459
100,0.05,63,20,1.0,0.8,0.7126695422069448
100,0.05,63,20,1.0,1.0,0.7126695422069448
100,0.05,31,20,1.0,1.0,0.7126695422069448
100,0.05,31,20,1.0,0.8,0.7126695422069448
500,0.01,63,5,1.0,0.8,0.7126693452497517
500,0.01,63,5,1.0,1.0,0.7126693452497517
500,0.1,63,10,1.0,1.0,0.7126652964477191
500,0.1,63,10,1.0,0.8,0.7126652964477191
500,0.05,31,5,1.0,0.8,0.7126594408589355
500,0.05,31,5,1.0,1.0,0.7126594408589355
500,0.1,15,20,0.8,1.0,0.7126413235101975
500,0.1,15,20,0.8,0.8,0.7126413235101975
100,0.1,15,20,1.0,0.8,0.7126029650414445
100,0.1,15,20,1.0,1.0,0.7126029650414445
100,0.1,31,10,1.0,0.8,0.7125941544410859
100,0.1,31,10,1.0,1.0,0.7125941544410859
300,0.01,31,10,0.8,1.0,0.7125911208140876
300,0.01,31,10,0.8,0.8,0.7125911208140876
300,0.1,15,20,1.0,1.0,0.7125879716185979
300,0.1,15,20,1.0,0.8,0.7125879716185979
300,0.01,15,20,0.8,1.0,0.7125853211154586
300,0.01,15,20,0.8,0.8,0.7125853211154586
300,0.1,31,10,1.0,0.8,0.7125800978623104
300,0.1,31,10,1.0,1.0,0.7125800978623104
500,0.05,63,10,1.0,1.0,0.7125767416719293
500,0.05,63,10,1.0,0.8,0.7125767416719293
500,0.01,15,20,0.8,1.0,0.7125698189391017
500,0.01,15,20,0.8,0.8,0.7125698189391017
300,0.1,63,5,1.0,0.8,0.7125671403717476
300,0.1,63,5,1.0,1.0,0.7125671403717476
500,0.1,15,20,1.0,1.0,0.7125495737060347
500,0.1,15,20,1.0,0.8,0.7125495737060347
300,0.05,31,10,0.8,0.8,0.7125435293462951
300,0.05,31,10,0.8,1.0,0.7125435293462951
100,0.1,63,10,0.8,0.8,0.7125353033478017
100,0.1,63,10,0.8,1.0,0.7125353033478017
100,0.1,31,20,1.0,0.8,0.7125257217248205
100,0.1,31,20,1.0,1.0,0.7125257217248205
100,0.1,63,20,1.0,0.8,0.7125257217248205
100,0.1,63,20,1.0,1.0,0.7125257217248205
300,0.1,15,20,0.8,1.0,0.7125163676415535
300,0.1,15,20,0.8,0.8,0.7125163676415535
300,0.05,15,20,1.0,1.0,0.7124993159278663
300,0.05,15,20,1.0,0.8,0.7124993159278663
300,0.1,31,10,0.8,1.0,0.712499297350072
300,0.1,31,10,0.8,0.8,0.712499297350072
500,0.1,15,10,0.8,0.8,0.7124985840361678
500,0.1,15,10,0.8,1.0,0.7124985840361678
100,0.05,15,20,1.0,1.0,0.7124777503665134
100,0.05,15,20,1.0,0.8,0.7124777503665134
500,0.01,31,10,1.0,1.0,0.7124593791676277
500,0.01,31,10,1.0,0.8,0.7124593791676277
300,0.01,63,10,0.8,0.8,0.7124361091231335
300,0.01,63,10,0.8,1.0,0.7124361091231335
300,0.01,63,20,0.8,1.0,0.7124202601824078
300,0.01,63,20,0.8,0.8,0.7124202601824078
300,0.01,31,20,0.8,1.0,0.7124202601824078
